url,address,location,price,detail1,detail2,page
"https://www.loopnet.com/Listing/315-25th-St-Richmond-CA/39113952/","315 25th St","","Strong location in Downtown Richmond","Value-add mixed-use opportunity","Starting bid $400,000","1"
"https://www.loopnet.com/Listing/2601-2605-High-St-Oakland-CA/37262179/","2601-2605 High St","Oakland, CA 94619","$2,000,000","8.24% Cap Rate","11 Unit Apartment Building","1"
"https://www.loopnet.com/Listing/1532-Howard-St-San-Francisco-CA/38729368/","1532 Howard St","San Francisco, CA 94103","$4,895,000","15 Unit Apartment Building","8,225 SF","1"
"https://www.loopnet.com/Listing/835-843-Broadway-San-Francisco-CA/39854251/","835-843 Broadway","San Francisco, CA 94133","$2,400,000","5.31% Cap Rate","8 Unit Apartment Building","1"
"https://www.loopnet.com/Listing/815-OFarrell-St-San-Francisco-CA/39853285/","815 O'Farrell St","San Francisco, CA 94109","$6,750,000","8.14% Cap Rate","42 Unit Apartment Building","1"
"https://www.loopnet.com/Listing/256-Pettis-Ave-Mountain-View-CA/39839362/","256 Pettis Ave","Mountain View, CA 94041","$2,695,000","5 Unit Apartment Building","2,801 SF","1"
"https://www.loopnet.com/Listing/955-Vermont-St-San-Jose-CA/39837652/","955 Vermont St","San Jose, CA 95126","$1,880,000","4.46% Cap Rate","4 Unit Apartment Building","1"
"https://www.loopnet.com/Listing/1942-Desert-Cor-Walnut-Creek-CA/39826032/","1942 Desert Cor","Walnut Creek, CA 94598","$2,900,000","7 Unit Apartment Building","6,046 SF","1"
"https://www.loopnet.com/Listing/3110-California-St-Berkeley-CA/39826001/","3110 California St","Berkeley, CA 94703","$1,250,000","5.38% Cap Rate","4 Unit Apartment Building","1"
"https://www.loopnet.com/Listing/150-Shoreline-Hwy-Mill-Valley-CA/39825481/","150 Shoreline Hwy","Mill Valley, CA 94941","$3,750,000","24 Unit Apartment Building","15,000 SF","1"
"https://www.loopnet.com/Listing/3104-Sacramento-St-San-Francisco-CA/39824490/","3104 Sacramento St","San Francisco, CA 94115","$3,150,000","3.92% Cap Rate","9 Unit Apartment Building","1"
"https://www.loopnet.com/Listing/339-Waverley-St-Menlo-Park-CA/39812343/","339 Waverley St","Menlo Park, CA 94025","$2,550,000","2.16% Cap Rate","2 Unit Apartment Building","1"
"https://www.loopnet.com/Listing/1504-S-Claremont-St-San-Mateo-CA/39807478/","1504 S Claremont St","San Mateo, CA 94402","$2,890,000","5.06% Cap Rate","8 Unit Apartment Building","1"
"https://www.loopnet.com/Listing/1586-Folsom-St-San-Francisco-CA/39807456/","1586 Folsom St","San Francisco, CA 94103","$3,130,000","6.28% Cap Rate","10 Unit Apartment Building","1"
"https://www.loopnet.com/Listing/811-Brown-St-Martinez-CA/39807397/","811 Brown St","Martinez, CA 94553","$4,199,000","5.14% Cap Rate","12 Unit Apartment Building","1"
"https://www.loopnet.com/Listing/246-28th-St-San-Francisco-CA/39791922/","246 28th St","San Francisco, CA 94131","$2,500,000","4.24% Cap Rate","6 Unit Apartment Building","1"
"https://www.loopnet.com/Listing/328-Higdon-Ave-Mountain-View-CA/39781183/","328 Higdon Ave","Mountain View, CA 94041","$2,400,000","3.71% Cap Rate","5 Unit Apartment Building","1"
