Listing URL,Thumbnail URL,Broker Logo URL,Address,Headline,Location,Price,Cap Rate,Building Category,Square Footage
https://www.loopnet.com/Listing/2200-Village-Ct-Belmont-CA/36856658/,https://images1.loopnet.com/i2/UagwsItHQ0J0pIFkTs2Crqwo9Shk9fn_FaC0slm021c/115/multifamily-property-for-sale-2200-village-ct-belmont-ca-94002.jpg,https://images1.loopnet.com/i2/AkDe-FU_dZ3WmFkhzaoPLPZGk-aIjquhAUOb1fu5Irk/105/image.png,2200 Village Ct,"$57,000+/Mon Passive Income-Best Belmont Apt","Belmont, CA 94002","$10,150,000",4.11% Cap Rate,23 Unit Apartment Building,
https://www.loopnet.com/Listing/2240-2242-Macarthur-Blvd-Oakland-CA/36855759/,https://images1.loopnet.com/i2/C99EfpXyat5NIt_w363gv8YSSDkvxieULPxB9mK4blU/115/multifamily-property-for-sale-2240-2242-macarthur-blvd-oakland-ca-94602.jpg,,2240-2242 Macarthur Blvd,,"Oakland, CA 94602","$2,750,000",6.81% Cap Rate,18 Unit Apartment Building,
https://www.loopnet.com/Listing/575-Myrtle-St-Half-Moon-Bay-CA/36850514/,https://images1.loopnet.com/i2/08G-VY7sI_EnWzcL00hib1t8ob3JVC774mE69HrwyZM/115/multifamily-property-for-sale-575-myrtle-st-half-moon-bay-ca-94019.jpg,https://images1.loopnet.com/i2/CKC1Gt7Up20W__6uhq7CHXzglWpmiNoGbT7o_K-wuaQ/105/image.jpg,575 Myrtle St,,"Half Moon Bay, CA 94019","$1,498,000",,3 Unit Apartment Building,"3,745 SF"
https://www.loopnet.com/Listing/3300-Brookdale-Ave-Oakland-CA/36842818/,https://images1.loopnet.com/i2/EZTzrx-CfE1K8r3N8ciydM6X1O3J9xGqbF-6Y4vbyPo/115/multifamily-property-for-sale-3300-brookdale-ave-oakland-ca-94602.jpg,https://images1.loopnet.com/i2/FPrDeLksGT1a1b7FU9_0bZe33BIRJyOkCyLKC_p1Xnw/105/image.jpg,3300 Brookdale Ave,,"Oakland, CA 94602","$1,399,000",,6 Unit Apartment Building,"15,960 SF"
https://www.loopnet.com/Listing/1404-Slater-St-Santa-Rosa-CA/36757962/,https://images1.loopnet.com/i2/5wdo2JE_3DwB7wUedl1nXKZ920zwSlXjnswaaIKLogc/115/multifamily-property-for-sale-1404-slater-st-santa-rosa-ca-95404.jpg,https://images1.loopnet.com/i2/DtpYxOOTxu8UUkE36o-oRxRDJxSqdQ2-oA__6lL7sbw/105/image.jpg,1404 Slater St,,"Santa Rosa, CA 95404","$2,495,000",5.67% Cap Rate,6 Unit Apartment Building,
https://www.loopnet.com/Listing/523-B-St-San-Rafael-CA/36755267/,https://images1.loopnet.com/i2/XceNqgdjkzHgYVnTG8c9boMy8ME-Emg_ZfYNHrszW7M/115/multifamily-property-for-sale-523-b-st-san-rafael-ca-94901.jpg,https://images1.loopnet.com/i2/T9azKFKU8oHLDXJSg4hqrkVyUVonYb5MibKlaJv5Sds/105/image.jpg,523 B St,,"San Rafael, CA 94901","$1,795,000",,3 Unit Apartment Building,"2,707 SF"
https://www.loopnet.com/Listing/7301-E-Levee-Rd-Rio-Linda-CA/36726384/,https://images1.loopnet.com/i2/U9SfPFP4WG-0_MqY4HjeD-Oq0zOepekBUJ23aT-XSnI/115/multifamily-property-for-sale-7301-e-levee-rd-rio-linda-ca-95673.jpg,,7301 E Levee Rd,,"Rio Linda, CA 95673","$2,000,000",,2 Unit Apartment Building,"2,650 SF"
https://www.loopnet.com/Listing/707-Seabright-Ave-Santa-Cruz-CA/36725614/,https://images1.loopnet.com/i2/2WsN_wYl7wXl3f_6vQ76XY3dud5H4yQyy1T6l1dg5dE/115/multifamily-property-for-sale-707-seabright-ave-santa-cruz-ca-95062.jpg,https://images1.loopnet.com/i2/wfpBTAww1o1ZMmzUdY0Zybp39p7Djy46ngilH1YdcrQ/105/image.jpg,707 Seabright Ave,,"Santa Cruz, CA 95062","$3,395,000",,9 Unit Apartment Building,"6,406 SF"
https://www.loopnet.com/Listing/3441-3445-Altos-Ave-Sacramento-CA/36724991/,https://images1.loopnet.com/i2/BBWZZ4aCRMEkJAespHotjGpvj5hlwQMgeJxycxnu-6o/115/multifamily-property-for-sale-3441-3445-altos-ave-sacramento-ca-95838.jpg,https://images1.loopnet.com/i2/AkDe-FU_dZ3WmFkhzaoPLPZGk-aIjquhAUOb1fu5Irk/105/image.png,3441-3445 Altos Ave,,"Sacramento, CA 95838","$1,300,000",,8 Unit Apartment Building,"3,960 SF"
https://www.loopnet.com/Listing/414-416-Bryant-St-San-Francisco-CA/36700863/,https://images1.loopnet.com/i2/Yejdkl0s91Wz1I5pwIGC6yMY3ymte4bAoq05_iNYoMU/115/multifamily-property-for-sale-414-416-bryant-st-san-francisco-ca-94107.jpg,https://images1.loopnet.com/i2/QJIjx1zh5DIup3ZZZQVi9_wgzi4cXJmlyDZkaK65QaA/105/image.jpg,414-416 Bryant St,SoMa South Park,"San Francisco, CA 94107","$2,850,000",6.05% Cap Rate,15 Unit Apartment Building,
https://www.loopnet.com/Listing/1421-G-St-Sacramento-CA/36687675/,https://images1.loopnet.com/i2/Lw2OfSmpJ41RFPWp2R08QrbeEpf0ANNX1XB35440tEQ/115/multifamily-property-for-sale-1421-g-st-sacramento-ca-95814.jpg,https://images1.loopnet.com/i2/qqvj5351gl2cW0oXPAdAKyT7C7csV4BZh_uVkCQ4EpI/105/image.jpg,1421 G St,,"Sacramento, CA 95814","$1,590,000",4.04% Cap Rate,6 Unit Apartment Building,
https://www.loopnet.com/Listing/2170-2180-Fremont-St-Concord-CA/36685981/,https://images1.loopnet.com/i2/UiwLm7TrOP-S7OMjM24h2wlDEpLp5WFzEfxtXmdHkh8/115/multifamily-property-for-sale-2170-2180-fremont-st-concord-ca-94520.jpg,https://images1.loopnet.com/i2/T9azKFKU8oHLDXJSg4hqrkVyUVonYb5MibKlaJv5Sds/105/image.jpg,2170-2180 Fremont St,,"Concord, CA 94520","$3,824,000",5.74% Cap Rate,16 Unit Apartment Building,
https://www.loopnet.com/Listing/500-N-St-Sacramento-CA/36681056/,https://images1.loopnet.com/i2/JQwI9gqyYwjDKKvF65Fgwmwu99ZZpmJ6FUl20S2eKZY/115/office-retail-retail-property-for-sale-500-n-st-sacramento-ca-95814.jpg,https://images1.loopnet.com/i2/QhanmgPrt_hlvWI001VsHr5Xcp5PxgHQQGgmtyxVT8Y/105/image.jpg,500 N St,Bridgeway Towers,"Sacramento, CA 95814","$220,000 - $450,000",,2 Units Available,785 SF
https://www.loopnet.com/Listing/523-530-N-1st-St-San-Jose-CA/36669580/,https://images1.loopnet.com/i2/ieo0PlNmDd6Muf80e_Ge2VPLC-9IAW8ixb_7HstChP8/115/multifamily-property-for-sale-523-530-n-1st-st-san-jose-ca-95112.jpg,https://images1.loopnet.com/i2/rzJw3ngu1B_aKD-jg80DeJOqxGtGeej8_WGkl8kQaRo/105/image.jpg,523-530 N 1st St,First Street Manor,"San Jose, CA 95112","$10,600,000",5.68% Cap Rate,39 Unit Apartment Building,
