"placard-pseudo href","company-logo src","image-hide src","header-col","subtitle-beta","subtitle-beta href","data-points-2c","data-points-2c 2","data-points-2c 3","subtitle-alpha","subtitle-alpha href"
"https://www.loopnet.com/Listing/50-Mendell-St-San-Francisco-CA/33662537/","https://images1.loopnet.com/i2/UH-R_rbKCpA0EV9Qv-JLvM0dv5IWyUzf-dK0C4wV1BE/105/image.jpg","https://images1.loopnet.com/i2/pAmudZepz352HpKlc2ydPKZZFY2URrb0gXxR695bc20/115/industrial-property-for-sale-50-mendell-st-san-francisco-ca-94124.jpg","50 Mendell St","San Francisco, CA 94124","https://www.loopnet.com/Listing/50-Mendell-St-San-Francisco-CA/33662537/","$1,495,000","1 Unit Available","3,147 SF Unit","",""
"https://www.loopnet.com/Listing/1908-1950-Innes-Ave-San-Francisco-CA/33453613/","https://images1.loopnet.com/i2/NohIOfMayq1fMhnFadXMcEMYr3sPwuXbqhCuBuQYDLg/105/image.jpg","https://images1.loopnet.com/i2/QlHolKGURC2O8kpywoRMEbbsjqDxTib8qyEg0zru09Q/115/industrial-property-for-sale-1908-1950-innes-ave-san-francisco-ca-94124.jpg","1908-1950 Innes Ave","San Francisco, CA 94124","https://www.loopnet.com/Listing/1908-1950-Innes-Ave-San-Francisco-CA/33453613/","$11,500,000","29,250 SF Industrial Building","Built in 1964","",""
"https://www.loopnet.com/Listing/1585-Folsom-St-San-Francisco-CA/33159785/","https://images1.loopnet.com/i2/jnpzyGwdiz7GxTBX0HNFDWAh2aFQBMMapD4KrbYOqyc/105/image.png","https://images1.loopnet.com/i2/W4_MeGi4qU2CN70Fcfb_UzEUZWfELD5w80gwd7gbuew/115/flex-property-for-sale-1585-folsom-st-san-francisco-ca-94103.jpg","1585 Folsom St","San Francisco, CA 94103","https://www.loopnet.com/Listing/1585-Folsom-St-San-Francisco-CA/33159785/","$4,000,000","30,000 SF Flex Building","Built in 1946","",""
"https://www.loopnet.com/Listing/632-Commercial-St-San-Francisco-CA/33042318/","https://images1.loopnet.com/i2/hJqLKpQvAk6luNHZN9WGUj54WxiG614N-yJEUh8b8PI/105/image.jpg","https://images1.loopnet.com/i2/coHA3mcQz8fmSBe45QPmrvjibVMIgR6XIjFqcRDeJuc/115/office-property-for-sale-632-commercial-st-san-francisco-ca-94111.jpg","632 Commercial St","San Francisco, CA 94111","https://www.loopnet.com/Listing/632-Commercial-St-San-Francisco-CA/33042318/","$6,500,000","12,500 SF Office Building","Built in 1907","Bradford Bldg","https://www.loopnet.com/Listing/632-Commercial-St-San-Francisco-CA/33042318/"
"https://www.loopnet.com/Listing/893-Folsom-St-San-Francisco-CA/32716061/","https://images1.loopnet.com/i2/X8KdwiN--mKqeXeDEwHPXYkgf-u4kMt8qnpMDSrLGrw/105/image.jpg","https://images1.loopnet.com/i2/XkPQQh-OjK4g5ZHgDPryXsDLS1sK1WF-iIClTiXrKuY/115/office-property-for-sale-893-folsom-st-san-francisco-ca-94107.jpg","893 Folsom St","San Francisco, CA 94107","https://www.loopnet.com/Listing/893-Folsom-St-San-Francisco-CA/32716061/","$4,800,000","12,700 SF Office Building","Built in 1925","",""
"https://www.loopnet.com/Listing/1513-York-San-Francisco-CA/32606884/","https://images1.loopnet.com/i2/oy6jQshxlMjnhGELireVfAPpGhJOXgC_y2ftEozPwUA/105/image.jpg","https://images1.loopnet.com/i2/rjU7RYXTxEy2rC4HOr8pLW4WAFIuTbYVIeYV2jN0e2g/115/land-property-for-sale-1513-york-san-francisco-ca-94110.jpg","1513 York","San Francisco, CA 94110","https://www.loopnet.com/Listing/1513-York-San-Francisco-CA/32606884/","$1,600,000","1 Residential Income Lot","0.40 AC Lot","",""
"https://www.loopnet.com/Listing/1176-1180-Shafter-Ave-San-Francisco-CA/32452275/","https://images1.loopnet.com/i2/-iyvt1Ug3rTd7UENZmzoqYFSM9_deId0nS_w4hzV-Vg/105/image.jpg","https://images1.loopnet.com/i2/esmY9EroUgYHtn8oIPS6vz1-dRMwQs78DkkcYthzkgY/115/industrial-property-for-sale-1176-1180-shafter-ave-san-francisco-ca-94124.jpg","1176-1180 Shafter Ave","San Francisco, CA 94124","https://www.loopnet.com/Listing/1176-1180-Shafter-Ave-San-Francisco-CA/32452275/","$1,700,000","6,000 SF Industrial Building","Built in 1964","$200,000 price reduction!","https://www.loopnet.com/Listing/1176-1180-Shafter-Ave-San-Francisco-CA/32452275/"
"https://www.loopnet.com/Listing/2027-2029-Market-St-San-Francisco-CA/31951670/","https://images1.loopnet.com/i2/9A6SwD6--CvmS94G-iDUyGP101yq2NvzSVHm413uUVs/105/image.png","https://images1.loopnet.com/i2/ROgDgf8TL1lcjjm0XFUmEkIHPA0620rU4wzavcPjYIg/115/office-retail-property-for-sale-2027-2029-market-st-san-francisco-ca-94114.jpg","2027-2029 Market St","San Francisco, CA 94114","https://www.loopnet.com/Listing/2027-2029-Market-St-San-Francisco-CA/31951670/","$4,950,000","1 Unit Available","5,000 SF Unit","",""
"https://www.loopnet.com/Listing/311-11th-Ave-San-Francisco-CA/31918352/","https://images1.loopnet.com/i2/X8KdwiN--mKqeXeDEwHPXYkgf-u4kMt8qnpMDSrLGrw/105/image.jpg","https://images1.loopnet.com/i2/VElk52SwxWQXVXpEogWH674wI0T1gzUqhE8YMtLzCL0/115/multifamily-property-for-sale-311-11th-ave-san-francisco-ca-94118.jpg","311 11th Ave","San Francisco, CA 94118","https://www.loopnet.com/Listing/311-11th-Ave-San-Francisco-CA/31918352/","$3,500,000","8.33% Cap Rate","15 Unit Apartment Building","",""
"https://www.loopnet.com/Listing/345-W-Portal-Ave-San-Francisco-CA/31878428/","https://images1.loopnet.com/i2/PO1glSMXTxFx5gPtUMtlYVQvAa70CMG01ljt7NDs3Cg/105/image.jpg","https://images1.loopnet.com/i2/J_hR0ON6i40LFHJMOfZgrJ-_NETd_evwistPGwmcsg4/115/office-property-for-sale-345-w-portal-ave-san-francisco-ca-94127.png","345 W Portal Ave","San Francisco, CA 94127","https://www.loopnet.com/Listing/345-W-Portal-Ave-San-Francisco-CA/31878428/","$7,988,000","7.76% Cap Rate","11,113 SF Office Building","",""
